,Emp_Id,Age,Attrition,DistanceFromHome,Education,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Q1_Longest_Streak_OUT,Q2_Longest_Streak_OUT,Q3_Longest_Streak_OUT,Q4_Longest_Streak_OUT,Q1_Longest_Streak_IN,Q2_Longest_Streak_IN,Q3_Longest_Streak_IN,Q4_Longest_Streak_IN,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
28,29,44,1,1,2,2,103330,3.0,14,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3,0,0,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
29,30,38,0,2,3,1,44480,9.0,12,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3,0,0,1,1,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
30,31,26,1,4,3,3,68540,2.0,11,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3,1,1,0,0,1,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
31,32,28,0,7,3,1,96370,1.0,13,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3,3,0,0,4,0,0,4,5,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
32,33,49,0,1,1,2,35910,9.0,13,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
33,34,36,0,5,3,3,54050,4.0,14,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3,0,1,0,0,1,0,2,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
34,35,31,0,9,4,1,46840,1.0,16,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
35,36,26,1,8,3,2,157870,1.0,12,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
36,37,37,0,9,1,1,15140,1.0,14,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3,6,0,0,5,0,0,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
37,38,42,0,2,2,3,29560,5.0,13,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3,3,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
38,39,18,1,1,4,1,23350,1.0,14,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
39,40,35,0,20,2,1,51540,0.0,19,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3,1,0,0,1,3,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
41,42,51,0,2,3,2,56750,5.0,13,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3,0,0,0,0,0,5,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
42,43,41,0,29,1,1,23790,1.0,12,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3,0,1,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
43,44,18,0,7,3,1,38120,1.0,15,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3,0,1,3,5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
44,45,28,0,9,3,1,46480,0.0,23,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4,1,1,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
45,46,31,0,8,1,1,29360,4.0,12,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3,0,2,0,0,0,5,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
46,47,39,0,5,4,2,21050,0.0,20,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4,3,0,0,2,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
47,48,36,0,5,4,1,85780,7.0,21,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4,5,0,0,1,1,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
48,49,32,0,2,3,2,27060,1.0,21,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4,2,2,0,6,0,0,4,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
49,50,38,0,5,2,3,63840,3.0,19,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3,0,0,4,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
50,51,58,0,2,3,2,39680,2.0,13,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3,0,3,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
51,52,31,0,20,1,3,99070,0.0,13,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3,0,0,0,1,0,3,0,5,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
52,53,31,0,7,4,2,132250,3.0,21,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4,0,3,0,1,1,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
53,54,45,0,3,1,1,35400,1.0,13,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3,0,1,0,0,2,3,0,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
54,55,31,0,16,4,2,28040,0.0,19,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3,0,0,1,2,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
55,56,33,0,9,3,4,193920,6.0,12,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3,3,0,0,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
56,57,39,0,1,4,1,196650,1.0,22,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4,5,0,0,0,0,1,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
57,58,43,0,7,4,4,24390,0.0,15,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
58,59,49,0,1,3,3,73140,7.0,22,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4,0,5,0,5,0,0,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
59,60,52,1,7,1,2,47740,2.0,18,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3,2,0,3,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
60,61,27,0,15,4,3,39020,1.0,22,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4,4,0,0,0,0,1,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
61,62,32,0,1,3,3,26620,1.0,11,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3,0,4,0,6,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
62,63,27,0,13,2,4,28560,1.0,12,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
63,64,31,0,24,3,2,10810,4.0,11,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3,4,0,1,0,3,3,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
64,65,32,0,7,3,2,24720,7.0,13,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
65,66,28,1,9,4,1,56730,5.0,14,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3,0,0,0,1,4,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
66,67,30,0,13,3,4,41970,1.0,13,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3,1,6,0,1,0,4,0,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
67,68,31,0,2,1,1,97130,1.0,17,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3,0,0,6,0,1,1,2,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
68,69,39,0,19,4,1,20620,1.0,13,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
69,70,39,1,1,1,1,42840,4.0,17,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3,3,0,0,2,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
70,71,33,0,4,2,4,47880,3.0,11,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3,3,1,0,2,2,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
71,72,47,0,4,3,2,59060,4.0,23,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4,0,0,3,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
72,73,43,0,14,3,5,38860,1.0,17,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3,3,2,0,0,5,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
73,74,27,0,2,3,1,168230,0.0,17,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3,0,2,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
74,75,54,0,1,4,2,29330,3.0,12,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
75,76,43,0,7,2,2,65000,8.0,23,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4,0,2,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
76,77,45,0,3,1,1,171740,9.0,14,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3,0,0,0,1,4,1,2,3,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
77,78,40,0,2,4,4,50330,2.0,14,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3,2,0,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
78,79,29,1,29,3,1,23070,1.0,13,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3,1,0,1,1,1,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
79,80,29,0,8,3,3,25870,0.0,22,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4,2,0,0,3,1,0,0,5,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
80,81,30,0,10,3,2,55070,1.0,12,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3,1,0,9,0,0,0,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
81,82,27,0,11,2,1,43930,1.0,18,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3,3,0,2,3,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
82,83,37,0,1,4,2,133480,7.0,14,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
83,84,38,0,28,4,1,65830,0.0,12,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3,0,0,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
85,86,29,0,3,4,3,39780,1.0,11,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3,2,0,4,0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
86,87,35,0,16,2,3,25440,0.0,13,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3,0,1,0,1,5,1,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
87,88,23,0,20,4,1,53990,1.0,23,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
88,89,41,0,9,2,1,54870,6.0,19,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
89,90,47,0,1,3,2,68340,3.0,16,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3,1,0,0,0,2,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
90,91,42,0,3,4,1,10910,2.0,22,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4,1,1,0,1,4,0,3,4,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
91,92,29,0,22,4,2,57360,1.0,22,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4,1,0,0,1,6,0,4,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
92,93,42,0,7,4,3,22260,0.0,12,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3,1,2,0,1,0,0,2,6,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
93,94,32,0,2,3,2,57470,1.0,13,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3,5,0,0,1,4,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
94,95,48,0,13,4,4,98540,3.0,16,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3,0,2,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
95,96,37,0,8,5,2,54670,4.0,12,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3,0,0,0,3,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
96,97,30,0,25,4,1,53800,7.0,21,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4,2,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
97,98,26,0,28,3,5,51510,1.0,15,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
98,99,42,0,2,2,1,21330,3.0,13,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
99,100,21,1,9,3,4,178750,1.0,12,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3,2,0,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
100,101,36,0,28,3,2,24320,4.0,22,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
101,102,36,0,6,3,2,47710,4.0,13,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3,3,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
102,103,57,0,21,4,5,191610,2.0,18,0,15.0,2,3,1,2,4.0,3.0,3.0,1,3,0,2,1,0,1,0,0,5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
103,104,40,0,8,3,2,50870,3.0,14,1,10.0,3,7,1,7,4.0,3.0,3.0,3,3,0,0,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
104,105,21,0,1,5,2,28630,1.0,14,0,3.0,2,3,2,2,1.0,4.0,2.0,1,3,2,0,0,1,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
105,106,33,1,28,2,5,55610,1.0,21,1,1.0,3,1,0,0,4.0,3.0,3.0,1,4,0,1,0,1,0,0,0,5,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
106,107,37,0,5,3,4,21440,6.0,19,0,17.0,3,5,0,3,3.0,1.0,3.0,4,3,3,0,0,2,2,5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
107,108,46,0,2,4,2,30650,2.0,11,0,7.0,3,1,0,0,3.0,3.0,4.0,3,3,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
108,109,41,1,16,1,1,28100,1.0,11,0,8.0,3,8,7,7,1.0,2.0,3.0,4,3,5,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
